"TIME","GEO","AGE","AGEDEF","UNIT","SEX","Value","Flag and Footnotes"
"1999","Hungary","Total","Age in completed years","Number","Total","2,821","p"
"1999","Malta","Total","Age in completed years","Number","Total",":",""
"1999","Netherlands","Total","Age in completed years","Number","Total","59,023",""
"1999","Austria","Total","Age in completed years","Number","Total","66,923",""
"1999","Poland","Total","Age in completed years","Number","Total","21,536",""
"1999","Portugal","Total","Age in completed years","Number","Total","14,040",""
"1999","Romania","Total","Age in completed years","Number","Total",":",""
"1999","Slovenia","Total","Age in completed years","Number","Total","2,606",""
"1999","Slovakia","Total","Age in completed years","Number","Total","618",""
"1999","Finland","Total","Age in completed years","Number","Total","11,966",""
"1999","Sweden","Total","Age in completed years","Number","Total","35,705",""
"1999","United Kingdom","Total","Age in completed years","Number","Total","245,340",""
"1999","Iceland","Total","Age in completed years","Number","Total","3,663",""
"1999","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"1999","Norway","Total","Age in completed years","Number","Total","22,842",""
"1999","Switzerland","Total","Age in completed years","Number","Total","91,804",""
"1999","North Macedonia","Total","Age in completed years","Number","Total",":",""
"1999","Belarus","Total","Age in completed years","Number","Total",":",""
"1999","Moldova","Total","Age in completed years","Number","Total",":",""
"1999","Russia","Total","Age in completed years","Number","Total",":",""
"1999","San Marino","Total","Age in completed years","Number","Total",":",""
"1999","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"1999","Tajikistan","Total","Age in completed years","Number","Total",":",""
"1999","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"1999","Armenia","Total","Age in completed years","Number","Total",":",""
"1999","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2000","Belgium","Total","Age in completed years","Number","Total","75,320",""
"2000","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2000","Czechia","Total","Age in completed years","Number","Total",":",""
"2000","Denmark","Total","Age in completed years","Number","Total","43,417",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","674,038",""
"2000","Estonia","Total","Age in completed years","Number","Total","1,784",""
"2000","Ireland","Total","Age in completed years","Number","Total","26,300",""
"2000","Greece","Total","Age in completed years","Number","Total","46,993",""
"2000","Spain","Total","Age in completed years","Number","Total",":",""
"2000","France","Total","Age in completed years","Number","Total",":",""
"2000","Croatia","Total","Age in completed years","Number","Total",":",""
"2000","Italy","Total","Age in completed years","Number","Total","56,601",""
"2000","Cyprus","Total","Age in completed years","Number","Total",":",""
"2000","Latvia","Total","Age in completed years","Number","Total","22,911",""
"2000","Lithuania","Total","Age in completed years","Number","Total","21,816",""
"2000","Luxembourg","Total","Age in completed years","Number","Total","8,121",""
"2000","Hungary","Total","Age in completed years","Number","Total","2,540",""
"2000","Malta","Total","Age in completed years","Number","Total",":",""
"2000","Netherlands","Total","Age in completed years","Number","Total","61,201",""
"2000","Austria","Total","Age in completed years","Number","Total","64,472",""
"2000","Poland","Total","Age in completed years","Number","Total","26,999",""
"2000","Portugal","Total","Age in completed years","Number","Total","10,667",""
"2000","Romania","Total","Age in completed years","Number","Total",":",""
"2000","Slovenia","Total","Age in completed years","Number","Total","3,570",""
"2000","Slovakia","Total","Age in completed years","Number","Total","811",""
"2000","Finland","Total","Age in completed years","Number","Total","14,311",""
"2000","Sweden","Total","Age in completed years","Number","Total","34,091",""
"2000","United Kingdom","Total","Age in completed years","Number","Total","277,563","e"
"2000","Iceland","Total","Age in completed years","Number","Total","3,489",""
"2000","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2000","Norway","Total","Age in completed years","Number","Total","26,854",""
"2000","Switzerland","Total","Age in completed years","Number","Total","90,078",""
"2000","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2000","Belarus","Total","Age in completed years","Number","Total",":",""
"2000","Moldova","Total","Age in completed years","Number","Total",":",""
"2000","Russia","Total","Age in completed years","Number","Total",":",""
"2000","San Marino","Total","Age in completed years","Number","Total",":",""
"2000","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2000","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2000","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2000","Armenia","Total","Age in completed years","Number","Total",":",""
"2000","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2001","Belgium","Total","Age in completed years","Number","Total","75,261",""
"2001","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2001","Czechia","Total","Age in completed years","Number","Total","21,469",""
"2001","Denmark","Total","Age in completed years","Number","Total","43,980",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","606,494",""
"2001","Estonia","Total","Age in completed years","Number","Total","2,175",""
"2001","Ireland","Total","Age in completed years","Number","Total","25,750",""
"2001","Greece","Total","Age in completed years","Number","Total","45,909",""
"2001","Spain","Total","Age in completed years","Number","Total",":",""
"2001","France","Total","Age in completed years","Number","Total",":",""
"2001","Croatia","Total","Age in completed years","Number","Total","7,488",""
"2001","Italy","Total","Age in completed years","Number","Total","56,077",""
"2001","Cyprus","Total","Age in completed years","Number","Total",":",""
"2001","Latvia","Total","Age in completed years","Number","Total","24,539",""
"2001","Lithuania","Total","Age in completed years","Number","Total","27,841",""
"2001","Luxembourg","Total","Age in completed years","Number","Total","8,824",""
"2001","Hungary","Total","Age in completed years","Number","Total","2,591",""
"2001","Malta","Total","Age in completed years","Number","Total",":",""
"2001","Netherlands","Total","Age in completed years","Number","Total","63,318",""
"2001","Austria","Total","Age in completed years","Number","Total","72,654",""
"2001","Poland","Total","Age in completed years","Number","Total","23,368",""
"2001","Portugal","Total","Age in completed years","Number","Total","5,396",""
"2001","Romania","Total","Age in completed years","Number","Total",":",""
"2001","Slovenia","Total","Age in completed years","Number","Total","4,811",""
"2001","Slovakia","Total","Age in completed years","Number","Total","1,011",""
"2001","Finland","Total","Age in completed years","Number","Total","13,153",""
"2001","Sweden","Total","Age in completed years","Number","Total","32,141",""
"2001","United Kingdom","Total","Age in completed years","Number","Total","251,369",""
"2001","Iceland","Total","Age in completed years","Number","Total","4,034",""
"2001","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2001","Norway","Total","Age in completed years","Number","Total","26,309",""
"2001","Switzerland","Total","Age in completed years","Number","Total","82,234",""
"2001","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2001","Belarus","Total","Age in completed years","Number","Total",":",""
"2001","Moldova","Total","Age in completed years","Number","Total",":",""
"2001","Russia","Total","Age in completed years","Number","Total",":",""
"2001","San Marino","Total","Age in completed years","Number","Total",":",""
"2001","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2001","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2001","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2001","Armenia","Total","Age in completed years","Number","Total",":",""
"2001","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2002","Belgium","Total","Age in completed years","Number","Total","75,960",""
"2002","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2002","Czechia","Total","Age in completed years","Number","Total","32,389",""
"2002","Denmark","Total","Age in completed years","Number","Total","43,481",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","623,255",""
"2002","Estonia","Total","Age in completed years","Number","Total","2,038",""
"2002","Ireland","Total","Age in completed years","Number","Total","28,375",""
"2002","Greece","Total","Age in completed years","Number","Total","39,378","b"
"2002","Spain","Total","Age in completed years","Number","Total","36,605",""
"2002","France","Total","Age in completed years","Number","Total",":",""
"2002","Croatia","Total","Age in completed years","Number","Total","11,767",""
"2002","Italy","Total","Age in completed years","Number","Total","41,756",""
"2002","Cyprus","Total","Age in completed years","Number","Total","1,474",""
"2002","Latvia","Total","Age in completed years","Number","Total","15,837",""
"2002","Lithuania","Total","Age in completed years","Number","Total","16,719",""
"2002","Luxembourg","Total","Age in completed years","Number","Total","9,452",""
"2002","Hungary","Total","Age in completed years","Number","Total","3,126",""
"2002","Malta","Total","Age in completed years","Number","Total",":",""
"2002","Netherlands","Total","Age in completed years","Number","Total","66,728",""
"2002","Austria","Total","Age in completed years","Number","Total","74,831","b"
"2002","Poland","Total","Age in completed years","Number","Total","24,532",""
"2002","Portugal","Total","Age in completed years","Number","Total","8,813",""
"2002","Romania","Total","Age in completed years","Number","Total",":",""
"2002","Slovenia","Total","Age in completed years","Number","Total","7,269",""
"2002","Slovakia","Total","Age in completed years","Number","Total","1,411",""
"2002","Finland","Total","Age in completed years","Number","Total","12,891",""
"2002","Sweden","Total","Age in completed years","Number","Total","33,009",""
"2002","United Kingdom","Total","Age in completed years","Number","Total","305,931",""
"2002","Iceland","Total","Age in completed years","Number","Total","4,490",""
"2002","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2002","Norway","Total","Age in completed years","Number","Total","22,948",""
"2002","Switzerland","Total","Age in completed years","Number","Total","78,419",""
"2002","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2002","Belarus","Total","Age in completed years","Number","Total",":",""
"2002","Moldova","Total","Age in completed years","Number","Total",":",""
"2002","Russia","Total","Age in completed years","Number","Total",":",""
"2002","San Marino","Total","Age in completed years","Number","Total",":",""
"2002","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2002","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2002","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2002","Armenia","Total","Age in completed years","Number","Total",":",""
"2002","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2003","Belgium","Total","Age in completed years","Number","Total","79,399",""
"2003","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2003","Czechia","Total","Age in completed years","Number","Total","34,226",""
"2003","Denmark","Total","Age in completed years","Number","Total","43,466",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","626,330",""
"2003","Estonia","Total","Age in completed years","Number","Total","3,073",""
"2003","Ireland","Total","Age in completed years","Number","Total","27,200",""
"2003","Greece","Total","Age in completed years","Number","Total","37,433",""
"2003","Spain","Total","Age in completed years","Number","Total","25,959",""
"2003","France","Total","Age in completed years","Number","Total",":",""
"2003","Croatia","Total","Age in completed years","Number","Total","6,534",""
"2003","Italy","Total","Age in completed years","Number","Total","48,706",""
"2003","Cyprus","Total","Age in completed years","Number","Total","1,696",""
"2003","Latvia","Total","Age in completed years","Number","Total","15,647",""
"2003","Lithuania","Total","Age in completed years","Number","Total","26,283",""
"2003","Luxembourg","Total","Age in completed years","Number","Total","7,746",""
"2003","Hungary","Total","Age in completed years","Number","Total","3,122",""
"2003","Malta","Total","Age in completed years","Number","Total",":",""
"2003","Netherlands","Total","Age in completed years","Number","Total","68,885",""
"2003","Austria","Total","Age in completed years","Number","Total","71,996",""
"2003","Poland","Total","Age in completed years","Number","Total","20,813",""
"2003","Portugal","Total","Age in completed years","Number","Total","6,687",""
"2003","Romania","Total","Age in completed years","Number","Total",":",""
"2003","Slovenia","Total","Age in completed years","Number","Total","5,867",""
"2003","Slovakia","Total","Age in completed years","Number","Total","1,194",""
"2003","Finland","Total","Age in completed years","Number","Total","12,083",""
"2003","Sweden","Total","Age in completed years","Number","Total","35,023",""
"2003","United Kingdom","Total","Age in completed years","Number","Total","313,960",""
"2003","Iceland","Total","Age in completed years","Number","Total","3,837",""
"2003","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2003","Norway","Total","Age in completed years","Number","Total","24,672",""
"2003","Switzerland","Total","Age in completed years","Number","Total","76,756",""
"2003","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2003","Belarus","Total","Age in completed years","Number","Total",":",""
"2003","Moldova","Total","Age in completed years","Number","Total",":",""
"2003","Russia","Total","Age in completed years","Number","Total",":",""
"2003","San Marino","Total","Age in completed years","Number","Total",":",""
"2003","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2003","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2003","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2003","Armenia","Total","Age in completed years","Number","Total",":",""
"2003","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2004","Belgium","Total","Age in completed years","Number","Total","83,895",""
"2004","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2004","Czechia","Total","Age in completed years","Number","Total","34,818",""
"2004","Denmark","Total","Age in completed years","Number","Total","45,017",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","697,632",""
"2004","Estonia","Total","Age in completed years","Number","Total","2,927",""
"2004","Ireland","Total","Age in completed years","Number","Total","28,675",""
"2004","Greece","Total","Age in completed years","Number","Total","38,041",""
"2004","Spain","Total","Age in completed years","Number","Total","55,092",""
"2004","France","Total","Age in completed years","Number","Total",":",""
"2004","Croatia","Total","Age in completed years","Number","Total","6,812",""
"2004","Italy","Total","Age in completed years","Number","Total","49,910",""
"2004","Cyprus","Total","Age in completed years","Number","Total","1,913",""
"2004","Latvia","Total","Age in completed years","Number","Total","20,167",""
"2004","Lithuania","Total","Age in completed years","Number","Total","37,691",""
"2004","Luxembourg","Total","Age in completed years","Number","Total","8,480",""
"2004","Hungary","Total","Age in completed years","Number","Total","3,820",""
"2004","Malta","Total","Age in completed years","Number","Total",":",""
"2004","Netherlands","Total","Age in completed years","Number","Total","75,049",""
"2004","Austria","Total","Age in completed years","Number","Total","71,721",""
"2004","Poland","Total","Age in completed years","Number","Total","18,877",""
"2004","Portugal","Total","Age in completed years","Number","Total","6,757",""
"2004","Romania","Total","Age in completed years","Number","Total",":",""
"2004","Slovenia","Total","Age in completed years","Number","Total","8,269",""
"2004","Slovakia","Total","Age in completed years","Number","Total","1,586",""
"2004","Finland","Total","Age in completed years","Number","Total","13,656",""
"2004","Sweden","Total","Age in completed years","Number","Total","36,586",""
"2004","United Kingdom","Total","Age in completed years","Number","Total","310,389",""
"2004","Iceland","Total","Age in completed years","Number","Total","4,820",""
"2004","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2004","Norway","Total","Age in completed years","Number","Total","23,271",""
"2004","Switzerland","Total","Age in completed years","Number","Total","79,726",""
"2004","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2004","Belarus","Total","Age in completed years","Number","Total",":",""
"2004","Moldova","Total","Age in completed years","Number","Total",":",""
"2004","Russia","Total","Age in completed years","Number","Total",":",""
"2004","San Marino","Total","Age in completed years","Number","Total",":",""
"2004","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2004","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2004","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2004","Armenia","Total","Age in completed years","Number","Total",":",""
"2004","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2005","Belgium","Total","Age in completed years","Number","Total","86,899",""
"2005","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2005","Czechia","Total","Age in completed years","Number","Total","24,065",""
"2005","Denmark","Total","Age in completed years","Number","Total","45,869",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","628,399",""
"2005","Estonia","Total","Age in completed years","Number","Total","4,610",""
"2005","Ireland","Total","Age in completed years","Number","Total","34,350",""
"2005","Greece","Total","Age in completed years","Number","Total","38,583",""
"2005","Spain","Total","Age in completed years","Number","Total","68,011",""
"2005","France","Total","Age in completed years","Number","Total",":",""
"2005","Croatia","Total","Age in completed years","Number","Total",":",""
"2005","Italy","Total","Age in completed years","Number","Total","53,931",""
"2005","Cyprus","Total","Age in completed years","Number","Total","2,192",""
"2005","Latvia","Total","Age in completed years","Number","Total","17,643",""
"2005","Lithuania","Total","Age in completed years","Number","Total","57,885",""
"2005","Luxembourg","Total","Age in completed years","Number","Total","8,287",""
"2005","Hungary","Total","Age in completed years","Number","Total","3,658",""
"2005","Malta","Total","Age in completed years","Number","Total",":",""
"2005","Netherlands","Total","Age in completed years","Number","Total","83,399",""
"2005","Austria","Total","Age in completed years","Number","Total","70,133",""
"2005","Poland","Total","Age in completed years","Number","Total","22,242",""
"2005","Portugal","Total","Age in completed years","Number","Total","6,360",""
"2005","Romania","Total","Age in completed years","Number","Total",":",""
"2005","Slovenia","Total","Age in completed years","Number","Total","8,605",""
"2005","Slovakia","Total","Age in completed years","Number","Total","1,873",""
"2005","Finland","Total","Age in completed years","Number","Total","12,369",""
"2005","Sweden","Total","Age in completed years","Number","Total","38,118",""
"2005","United Kingdom","Total","Age in completed years","Number","Total","328,408",""
"2005","Iceland","Total","Age in completed years","Number","Total","3,913",""
"2005","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2005","Norway","Total","Age in completed years","Number","Total","21,709",""
"2005","Switzerland","Total","Age in completed years","Number","Total","82,090",""
"2005","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2005","Belarus","Total","Age in completed years","Number","Total",":",""
"2005","Moldova","Total","Age in completed years","Number","Total",":",""
"2005","Russia","Total","Age in completed years","Number","Total",":",""
"2005","San Marino","Total","Age in completed years","Number","Total",":",""
"2005","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2005","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2005","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2005","Armenia","Total","Age in completed years","Number","Total",":",""
"2005","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2006","Belgium","Total","Age in completed years","Number","Total","88,163",""
"2006","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2006","Czechia","Total","Age in completed years","Number","Total","33,463",""
"2006","Denmark","Total","Age in completed years","Number","Total","46,786",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","639,064",""
"2006","Estonia","Total","Age in completed years","Number","Total","5,527",""
"2006","Ireland","Total","Age in completed years","Number","Total","44,409","b"
"2006","Greece","Total","Age in completed years","Number","Total","38,368",""
"2006","Spain","Total","Age in completed years","Number","Total","142,296",""
"2006","France","Total","Age in completed years","Number","Total","189,403","b"
"2006","Croatia","Total","Age in completed years","Number","Total","7,692",""
"2006","Italy","Total","Age in completed years","Number","Total","58,407",""
"2006","Cyprus","Total","Age in completed years","Number","Total","2,778",""
"2006","Latvia","Total","Age in completed years","Number","Total","17,019",""
"2006","Lithuania","Total","Age in completed years","Number","Total","32,390",""
"2006","Luxembourg","Total","Age in completed years","Number","Total","9,001",""
"2006","Hungary","Total","Age in completed years","Number","Total","4,314","p"
"2006","Malta","Total","Age in completed years","Number","Total","3,835","e"
"2006","Netherlands","Total","Age in completed years","Number","Total","91,028",""
"2006","Austria","Total","Age in completed years","Number","Total","74,432",""
"2006","Poland","Total","Age in completed years","Number","Total","46,936",""
"2006","Portugal","Total","Age in completed years","Number","Total","5,600",""
"2006","Romania","Total","Age in completed years","Number","Total",":",""
"2006","Slovenia","Total","Age in completed years","Number","Total","13,749",""
"2006","Slovakia","Total","Age in completed years","Number","Total","1,735",""
"2006","Finland","Total","Age in completed years","Number","Total","12,107",""
"2006","Sweden","Total","Age in completed years","Number","Total","44,908",""
"2006","United Kingdom","Total","Age in completed years","Number","Total","369,470",""
"2006","Iceland","Total","Age in completed years","Number","Total","4,577",""
"2006","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2006","Norway","Total","Age in completed years","Number","Total","22,053",""
"2006","Switzerland","Total","Age in completed years","Number","Total","88,218",""
"2006","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2006","Belarus","Total","Age in completed years","Number","Total",":",""
"2006","Moldova","Total","Age in completed years","Number","Total",":",""
"2006","Russia","Total","Age in completed years","Number","Total",":",""
"2006","San Marino","Total","Age in completed years","Number","Total",":",""
"2006","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2006","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2006","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2006","Armenia","Total","Age in completed years","Number","Total",":",""
"2006","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2007","Belgium","Total","Age in completed years","Number","Total","91,052",""
"2007","Bulgaria","Total","Age in completed years","Number","Total","2,958",""
"2007","Czechia","Total","Age in completed years","Number","Total","20,500",""
"2007","Denmark","Total","Age in completed years","Number","Total","41,566",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","636,854",""
"2007","Estonia","Total","Age in completed years","Number","Total","4,384",""
"2007","Ireland","Total","Age in completed years","Number","Total","48,040",""
"2007","Greece","Total","Age in completed years","Number","Total","40,400",""
"2007","Spain","Total","Age in completed years","Number","Total","227,065",""
"2007","France","Total","Age in completed years","Number","Total","220,354",""
"2007","Croatia","Total","Age in completed years","Number","Total","9,002",""
"2007","Italy","Total","Age in completed years","Number","Total","51,113",""
"2007","Cyprus","Total","Age in completed years","Number","Total","4,106",""
"2007","Latvia","Total","Age in completed years","Number","Total","15,463",""
"2007","Lithuania","Total","Age in completed years","Number","Total","30,383",""
"2007","Luxembourg","Total","Age in completed years","Number","Total","10,674",""
"2007","Hungary","Total","Age in completed years","Number","Total","4,500",""
"2007","Malta","Total","Age in completed years","Number","Total","3,730",""
"2007","Netherlands","Total","Age in completed years","Number","Total","91,287",""
"2007","Austria","Total","Age in completed years","Number","Total","49,898","b"
"2007","Poland","Total","Age in completed years","Number","Total","35,480",""
"2007","Portugal","Total","Age in completed years","Number","Total","7,890",""
"2007","Romania","Total","Age in completed years","Number","Total",":",""
"2007","Slovenia","Total","Age in completed years","Number","Total","14,943",""
"2007","Slovakia","Total","Age in completed years","Number","Total","1,831",""
"2007","Finland","Total","Age in completed years","Number","Total","12,443",""
"2007","Sweden","Total","Age in completed years","Number","Total","45,418",""
"2007","United Kingdom","Total","Age in completed years","Number","Total","317,587",""
"2007","Iceland","Total","Age in completed years","Number","Total","7,414",""
"2007","Liechtenstein","Total","Age in completed years","Number","Total",":",""
"2007","Norway","Total","Age in completed years","Number","Total","22,122",""
"2007","Switzerland","Total","Age in completed years","Number","Total","90,175",""
"2007","North Macedonia","Total","Age in completed years","Number","Total",":",""
"2007","Belarus","Total","Age in completed years","Number","Total",":",""
"2007","Moldova","Total","Age in completed years","Number","Total",":",""
"2007","Russia","Total","Age in completed years","Number","Total",":",""
"2007","San Marino","Total","Age in completed years","Number","Total",":",""
"2007","Kyrgyzstan","Total","Age in completed years","Number","Total",":",""
"2007","Tajikistan","Total","Age in completed years","Number","Total",":",""
"2007","Uzbekistan","Total","Age in completed years","Number","Total",":",""
"2007","Armenia","Total","Age in completed years","Number","Total",":",""
"2007","Azerbaijan","Total","Age in completed years","Number","Total",":",""
"2008","Belgium","Total","Age in completed years","Number","Total",":",""
"2008","Bulgaria","Total","Age in completed years","Number","Total",":",""
"2008","Czechia","Total","Age in completed years","Number","Total","51,478","b"
"2008","Denmark","Total","Age in completed years","Number","Total","38,356","b"
"2008","Germany (until 1990 former territory of the FRG)","Total","Age in completed years","Number","Total","737,889",""
"2008","Estonia","Total","Age in completed years","Number","Total","4,406","b"
"2008","Ireland","Total","Age in completed years","Number","Total","65,934",""
"2008","Greece","Total","Age in completed years","Number","Total","43,044","b"
"2008","Spain","Total","Age in completed years","Number","Total","288,432","b"
"2008","France","Total","Age in completed years","Number","Total","239,796",""
"2008","Croatia","Total","Age in completed years","Number","Total","10,638","b"
"2008","Italy","Total","Age in completed years","Number","Total","80,947",""
"2008","Cyprus","Total","Age in completed years","Number","Total",":",""
"2008","Latvia","Total","Age in completed years","Number","Total","27,045",""
"2008","Lithuania","Total","Age in completed years","Number","Total","25,750",""
"2008","Luxembourg","Total","Age in completed years","Number","Total","10,058",""
"2008","Hungary","Total","Age in completed years","Number","Total","9,591","b"
"2008","Malta","Total","Age in completed years","Number","Total","3,719",""
"2008","Netherlands","Total","Age in completed years","Number","Total","90,067",""
"2008","Austria","Total","Age in completed years","Number","Total","51,563",""
"2008","Poland","Total","Age in completed years","Number","Total",":","b"
"2008","Portugal","Total","Age in completed years","Number","Total","20,357",""
"2008","Romania","Total","Age in completed years","Number","Total","302,796","b"
"2008","Slovenia","Total","Age in completed years","Number","Total","12,109","b"
"2008","Slovakia","Total","Age in completed years","Number","Total","1,705",""
"2008","Finland","Total","Age in completed years","Number","Total","13,657",""
"2008","Sweden","Total","Age in completed years","Number","Total","45,294",""
"2008","United Kingdom","Total","Age in completed years","Number","Total","427,207","b"
"2008","Iceland","Total","Age in completed years","Number","Total","9,144",""
"2008","Liechtenstein","Total","Age in completed years","Number","Total","490","b"
