"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2008","Slovakia","Age in completed years","Total","Number","Total","8,765",""
"2008","Finland","Age in completed years","Total","Number","Total","29,114",""
"2008","Sweden","Age in completed years","Total","Number","Total","101,171",""
"2008","United Kingdom","Age in completed years","Total","Number","Total","590,242","b"
"2008","Iceland","Age in completed years","Total","Number","Total","10,288",""
"2008","Liechtenstein","Age in completed years","Total","Number","Total","578","b"
"2008","Norway","Age in completed years","Total","Number","Total","58,123","b"
"2008","Switzerland","Age in completed years","Total","Number","Total","184,297",""
"2009","Belgium","Age in completed years","Total","Number","Total",":",""
"2009","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2009","Czechia","Age in completed years","Total","Number","Total","75,620",""
"2009","Denmark","Age in completed years","Total","Number","Total","51,800",""
"2009","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","346,216","b"
"2009","Estonia","Age in completed years","Total","Number","Total","3,884",""
"2009","Ireland","Age in completed years","Total","Number","Total","50,604",""
"2009","Greece","Age in completed years","Total","Number","Total","58,613",""
"2009","Spain","Age in completed years","Total","Number","Total","392,962",""
"2009","France","Age in completed years","Total","Number","Total","296,970",""
"2009","Croatia","Age in completed years","Total","Number","Total","13,213",""
"2009","Italy","Age in completed years","Total","Number","Total","442,940",""
"2009","Cyprus","Age in completed years","Total","Number","Total","22,581","b"
"2009","Latvia","Age in completed years","Total","Number","Total","3,731",""
"2009","Lithuania","Age in completed years","Total","Number","Total","6,487",""
"2009","Luxembourg","Age in completed years","Total","Number","Total","15,751",""
"2009","Hungary","Age in completed years","Total","Number","Total","27,894",""
"2009","Malta","Age in completed years","Total","Number","Total","6,161",""
"2009","Netherlands","Age in completed years","Total","Number","Total","122,917","b"
"2009","Austria","Age in completed years","Total","Number","Total","69,295",""
"2009","Poland","Age in completed years","Total","Number","Total","189,166","b"
"2009","Portugal","Age in completed years","Total","Number","Total","32,307",""
"2009","Romania","Age in completed years","Total","Number","Total","135,844",""
"2009","Slovenia","Age in completed years","Total","Number","Total","30,296",""
"2009","Slovakia","Age in completed years","Total","Number","Total","6,346",""
"2009","Finland","Age in completed years","Total","Number","Total","26,699",""
"2009","Sweden","Age in completed years","Total","Number","Total","102,280",""
"2009","United Kingdom","Age in completed years","Total","Number","Total","566,514",""
"2009","Iceland","Age in completed years","Total","Number","Total","3,921","b"
"2009","Liechtenstein","Age in completed years","Total","Number","Total","584",""
"2009","Norway","Age in completed years","Total","Number","Total","55,953",""
"2009","Switzerland","Age in completed years","Total","Number","Total","160,623",""
"2010","Belgium","Age in completed years","Total","Number","Total","135,281","b"
"2010","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2010","Czechia","Age in completed years","Total","Number","Total","48,317",""
"2010","Denmark","Age in completed years","Total","Number","Total","52,236",""
"2010","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","404,055",""
"2010","Estonia","Age in completed years","Total","Number","Total","2,810",""
"2010","Ireland","Age in completed years","Total","Number","Total","52,339",""
"2010","Greece","Age in completed years","Total","Number","Total","60,462",""
"2010","Spain","Age in completed years","Total","Number","Total","360,705",""
"2010","France","Age in completed years","Total","Number","Total","307,111","b"
"2010","Croatia","Age in completed years","Total","Number","Total","8,846",""
"2010","Italy","Age in completed years","Total","Number","Total","458,856",""
"2010","Cyprus","Age in completed years","Total","Number","Total","20,206",""
"2010","Latvia","Age in completed years","Total","Number","Total","4,011",""
"2010","Lithuania","Age in completed years","Total","Number","Total","5,213",""
"2010","Luxembourg","Age in completed years","Total","Number","Total","16,962",""
"2010","Hungary","Age in completed years","Total","Number","Total","25,519","b"
"2010","Malta","Age in completed years","Total","Number","Total","4,275",""
"2010","Netherlands","Age in completed years","Total","Number","Total","126,776",""
"2010","Austria","Age in completed years","Total","Number","Total","70,978",""
"2010","Poland","Age in completed years","Total","Number","Total","155,131",""
"2010","Portugal","Age in completed years","Total","Number","Total","27,575",""
"2010","Romania","Age in completed years","Total","Number","Total","149,885",""
"2010","Slovenia","Age in completed years","Total","Number","Total","15,416",""
"2010","Slovakia","Age in completed years","Total","Number","Total","5,272",""
"2010","Finland","Age in completed years","Total","Number","Total","25,636",""
"2010","Sweden","Age in completed years","Total","Number","Total","98,801",""
"2010","United Kingdom","Age in completed years","Total","Number","Total","590,950",""
"2010","Iceland","Age in completed years","Total","Number","Total","3,948",""
"2010","Liechtenstein","Age in completed years","Total","Number","Total","591",""
"2010","Norway","Age in completed years","Total","Number","Total","69,214",""
"2010","Switzerland","Age in completed years","Total","Number","Total","161,778",""
"2011","Belgium","Age in completed years","Total","Number","Total","147,377","b"
"2011","Bulgaria","Age in completed years","Total","Number","Total",":",""
"2011","Czechia","Age in completed years","Total","Number","Total","27,114","b"
"2011","Denmark","Age in completed years","Total","Number","Total","52,833",""
"2011","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","489,422",""
"2011","Estonia","Age in completed years","Total","Number","Total","3,709",""
"2011","Ireland","Age in completed years","Total","Number","Total","57,292","b"
"2011","Greece","Age in completed years","Total","Number","Total","60,089","b"
"2011","Spain","Age in completed years","Total","Number","Total","371,331",""
"2011","France","Age in completed years","Total","Number","Total","319,816",""
"2011","Croatia","Age in completed years","Total","Number","Total","8,534",""
"2011","Italy","Age in completed years","Total","Number","Total","385,793",""
"2011","Cyprus","Age in completed years","Total","Number","Total","23,037",""
"2011","Latvia","Age in completed years","Total","Number","Total","10,234",""
"2011","Lithuania","Age in completed years","Total","Number","Total","15,685",""
"2011","Luxembourg","Age in completed years","Total","Number","Total","20,268",""
"2011","Hungary","Age in completed years","Total","Number","Total","28,018",""
"2011","Malta","Age in completed years","Total","Number","Total","5,465",""
"2011","Netherlands","Age in completed years","Total","Number","Total","130,118",""
"2011","Austria","Age in completed years","Total","Number","Total","82,230",""
"2011","Poland","Age in completed years","Total","Number","Total","157,059",""
"2011","Portugal","Age in completed years","Total","Number","Total","19,667",""
"2011","Romania","Age in completed years","Total","Number","Total","147,685",""
"2011","Slovenia","Age in completed years","Total","Number","Total","14,083",""
"2011","Slovakia","Age in completed years","Total","Number","Total","4,829",""
"2011","Finland","Age in completed years","Total","Number","Total","29,481",""
"2011","Sweden","Age in completed years","Total","Number","Total","96,467",""
"2011","United Kingdom","Age in completed years","Total","Number","Total","566,044",""
"2011","Iceland","Age in completed years","Total","Number","Total","4,073",""
"2011","Liechtenstein","Age in completed years","Total","Number","Total","650",""
"2011","Norway","Age in completed years","Total","Number","Total","70,337",""
"2011","Switzerland","Age in completed years","Total","Number","Total","148,799","b"
"2012","Belgium","Age in completed years","Total","Number","Total","129,477",""
"2012","Bulgaria","Age in completed years","Total","Number","Total","14,103","bp"
"2012","Czechia","Age in completed years","Total","Number","Total","34,337",""
"2012","Denmark","Age in completed years","Total","Number","Total","54,409",""
"2012","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","592,175",""
"2012","Estonia","Age in completed years","Total","Number","Total","2,639",""
"2012","Ireland","Age in completed years","Total","Number","Total","61,324",""
"2012","Greece","Age in completed years","Total","Number","Total","58,200",""
"2012","Spain","Age in completed years","Total","Number","Total","304,053",""
"2012","France","Age in completed years","Total","Number","Total","327,431",""
"2012","Croatia","Age in completed years","Total","Number","Total","8,959",""
"2012","Italy","Age in completed years","Total","Number","Total","350,772",""
"2012","Cyprus","Age in completed years","Total","Number","Total","17,476",""
"2012","Latvia","Age in completed years","Total","Number","Total","13,303",""
"2012","Lithuania","Age in completed years","Total","Number","Total","19,843",""
"2012","Luxembourg","Age in completed years","Total","Number","Total","20,478",""
"2012","Hungary","Age in completed years","Total","Number","Total","33,702",""
"2012","Malta","Age in completed years","Total","Number","Total","8,256",""
"2012","Netherlands","Age in completed years","Total","Number","Total","124,566",""
"2012","Austria","Age in completed years","Total","Number","Total","91,557",""
"2012","Poland","Age in completed years","Total","Number","Total","217,546",""
"2012","Portugal","Age in completed years","Total","Number","Total","14,606",""
"2012","Romania","Age in completed years","Total","Number","Total","167,266",""
"2012","Slovenia","Age in completed years","Total","Number","Total","15,022",""
"2012","Slovakia","Age in completed years","Total","Number","Total","5,419","p"
"2012","Finland","Age in completed years","Total","Number","Total","31,278",""
"2012","Sweden","Age in completed years","Total","Number","Total","103,059",""
"2012","United Kingdom","Age in completed years","Total","Number","Total","498,040",""
"2012","Iceland","Age in completed years","Total","Number","Total","4,960",""
"2012","Liechtenstein","Age in completed years","Total","Number","Total","671",""
"2012","Norway","Age in completed years","Total","Number","Total","69,908",""
"2012","Switzerland","Age in completed years","Total","Number","Total","149,051",""
"2013","Belgium","Age in completed years","Total","Number","Total","120,078",""
"2013","Bulgaria","Age in completed years","Total","Number","Total","18,570","p"
"2013","Czechia","Age in completed years","Total","Number","Total","30,124","b"
"2013","Denmark","Age in completed years","Total","Number","Total","60,312",""
"2013","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","692,713",""
"2013","Estonia","Age in completed years","Total","Number","Total","4,109",""
"2013","Ireland","Age in completed years","Total","Number","Total","65,539",""
"2013","Greece","Age in completed years","Total","Number","Total","57,946",""
"2013","Spain","Age in completed years","Total","Number","Total","280,772",""
"2013","France","Age in completed years","Total","Number","Total","338,752",""
"2013","Croatia","Age in completed years","Total","Number","Total","10,378",""
"2013","Italy","Age in completed years","Total","Number","Total","307,454",""
"2013","Cyprus","Age in completed years","Total","Number","Total","13,149",""
"2013","Latvia","Age in completed years","Total","Number","Total","8,299",""
"2013","Lithuania","Age in completed years","Total","Number","Total","22,011",""
"2013","Luxembourg","Age in completed years","Total","Number","Total","21,098",""
"2013","Hungary","Age in completed years","Total","Number","Total","38,968",""
"2013","Malta","Age in completed years","Total","Number","Total","10,897",""
"2013","Netherlands","Age in completed years","Total","Number","Total","129,428",""
"2013","Austria","Age in completed years","Total","Number","Total","101,866",""
"2013","Poland","Age in completed years","Total","Number","Total","220,311",""
"2013","Portugal","Age in completed years","Total","Number","Total","17,554",""
"2013","Romania","Age in completed years","Total","Number","Total","153,646",""
"2013","Slovenia","Age in completed years","Total","Number","Total","13,871",""
"2013","Slovakia","Age in completed years","Total","Number","Total","5,149","p"
"2013","Finland","Age in completed years","Total","Number","Total","31,941",""
"2013","Sweden","Age in completed years","Total","Number","Total","115,845",""
"2013","United Kingdom","Age in completed years","Total","Number","Total","526,046",""
"2013","Iceland","Age in completed years","Total","Number","Total","6,406",""
"2013","Liechtenstein","Age in completed years","Total","Number","Total","696",""
"2013","Norway","Age in completed years","Total","Number","Total","68,313",""
"2013","Switzerland","Age in completed years","Total","Number","Total","160,157",""
"2014","Belgium","Age in completed years","Total","Number","Total","123,158",""
"2014","Bulgaria","Age in completed years","Total","Number","Total","26,615","p"
"2014","Czechia","Age in completed years","Total","Number","Total","29,897",""
"2014","Denmark","Age in completed years","Total","Number","Total","68,388",""
"2014","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","884,893","e"
"2014","Estonia","Age in completed years","Total","Number","Total","3,904",""
"2014","Ireland","Age in completed years","Total","Number","Total","73,519",""
"2014","Greece","Age in completed years","Total","Number","Total","59,013",""
"2014","Spain","Age in completed years","Total","Number","Total","305,454",""
"2014","France","Age in completed years","Total","Number","Total","340,383",""
"2014","Croatia","Age in completed years","Total","Number","Total","10,638",""
"2014","Italy","Age in completed years","Total","Number","Total","277,631",""
"2014","Cyprus","Age in completed years","Total","Number","Total","9,212",""
"2014","Latvia","Age in completed years","Total","Number","Total","10,365",""
"2014","Lithuania","Age in completed years","Total","Number","Total","24,294",""
"2014","Luxembourg","Age in completed years","Total","Number","Total","22,332",""
"2014","Hungary","Age in completed years","Total","Number","Total","54,581",""
"2014","Malta","Age in completed years","Total","Number","Total","14,454",""
"2014","Netherlands","Age in completed years","Total","Number","Total","145,323",""
"2014","Austria","Age in completed years","Total","Number","Total","116,262",""
"2014","Poland","Age in completed years","Total","Number","Total","222,275","p"
"2014","Portugal","Age in completed years","Total","Number","Total","19,516",""
"2014","Romania","Age in completed years","Total","Number","Total","136,035",""
"2014","Slovenia","Age in completed years","Total","Number","Total","13,846",""
"2014","Slovakia","Age in completed years","Total","Number","Total","5,357","p"
"2014","Finland","Age in completed years","Total","Number","Total","31,507",""
"2014","Sweden","Age in completed years","Total","Number","Total","126,966",""
"2014","United Kingdom","Age in completed years","Total","Number","Total","631,991",""
"2014","Iceland","Age in completed years","Total","Number","Total","5,368",""
"2014","Liechtenstein","Age in completed years","Total","Number","Total","615",""
"2014","Norway","Age in completed years","Total","Number","Total","66,903",""
"2014","Switzerland","Age in completed years","Total","Number","Total","156,282",""
"2015","Belgium","Age in completed years","Total","Number","Total","146,626",""
"2015","Bulgaria","Age in completed years","Total","Number","Total","25,223","p"
"2015","Czechia","Age in completed years","Total","Number","Total","29,602",""
"2015","Denmark","Age in completed years","Total","Number","Total","78,492",""
"2015","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,543,848","e"
"2015","Estonia","Age in completed years","Total","Number","Total","15,413","b"
"2015","Ireland","Age in completed years","Total","Number","Total","80,792",""
"2015","Greece","Age in completed years","Total","Number","Total","64,446","b"
"2015","Spain","Age in completed years","Total","Number","Total","342,114",""
"2015","France","Age in completed years","Total","Number","Total","364,221",""
"2015","Croatia","Age in completed years","Total","Number","Total","11,706",""
"2015","Italy","Age in completed years","Total","Number","Total","280,078",""
"2015","Cyprus","Age in completed years","Total","Number","Total","15,183",""
"2015","Latvia","Age in completed years","Total","Number","Total","9,479",""
"2015","Lithuania","Age in completed years","Total","Number","Total","22,130",""
"2015","Luxembourg","Age in completed years","Total","Number","Total","23,803",""
"2015","Hungary","Age in completed years","Total","Number","Total","58,344",""
"2015","Malta","Age in completed years","Total","Number","Total","16,936",""
"2015","Netherlands","Age in completed years","Total","Number","Total","166,872",""
"2015","Austria","Age in completed years","Total","Number","Total","166,323",""
"2015","Poland","Age in completed years","Total","Number","Total","218,147","p"
"2015","Portugal","Age in completed years","Total","Number","Total","29,896","e"
"2015","Romania","Age in completed years","Total","Number","Total","132,795","e"
"2015","Slovenia","Age in completed years","Total","Number","Total","15,420",""
"2015","Slovakia","Age in completed years","Total","Number","Total","6,997","p"
"2015","Finland","Age in completed years","Total","Number","Total","28,746",""
"2015","Sweden","Age in completed years","Total","Number","Total","134,240",""
"2015","United Kingdom","Age in completed years","Total","Number","Total","631,452",""
"2015","Iceland","Age in completed years","Total","Number","Total","5,635",""
"2015","Liechtenstein","Age in completed years","Total","Number","Total","657",""
"2015","Norway","Age in completed years","Total","Number","Total","60,816",""
"2015","Switzerland","Age in completed years","Total","Number","Total","153,627",""
"2016","Belgium","Age in completed years","Total","Number","Total","123,702",""
"2016","Bulgaria","Age in completed years","Total","Number","Total","21,241",""
"2016","Czechia","Age in completed years","Total","Number","Total","64,083",""
"2016","Denmark","Age in completed years","Total","Number","Total","74,383",""
"2016","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","1,029,852","b"
"2016","Estonia","Age in completed years","Total","Number","Total","14,822",""
"2016","Ireland","Age in completed years","Total","Number","Total","85,185",""
"2016","Greece","Age in completed years","Total","Number","Total","116,867","b"
"2016","Spain","Age in completed years","Total","Number","Total","414,746",""
"2016","France","Age in completed years","Total","Number","Total","378,115",""
"2016","Croatia","Age in completed years","Total","Number","Total","13,985",""
"2016","Italy","Age in completed years","Total","Number","Total","300,823",""
"2016","Cyprus","Age in completed years","Total","Number","Total","17,391",""
"2016","Latvia","Age in completed years","Total","Number","Total","8,345",""
"2016","Lithuania","Age in completed years","Total","Number","Total","20,162",""
"2016","Luxembourg","Age in completed years","Total","Number","Total","22,888",""
"2016","Hungary","Age in completed years","Total","Number","Total","53,618",""
"2016","Malta","Age in completed years","Total","Number","Total","17,051",""
"2016","Netherlands","Age in completed years","Total","Number","Total","189,232",""
"2016","Austria","Age in completed years","Total","Number","Total","129,509",""
"2016","Poland","Age in completed years","Total","Number","Total","208,302","ep"
"2016","Portugal","Age in completed years","Total","Number","Total","29,925","e"
"2016","Romania","Age in completed years","Total","Number","Total","137,455",""
"2016","Slovenia","Age in completed years","Total","Number","Total","16,623",""
"2016","Slovakia","Age in completed years","Total","Number","Total","7,686","p"
"2016","Finland","Age in completed years","Total","Number","Total","34,905",""
"2016","Sweden","Age in completed years","Total","Number","Total","163,005",""
"2016","United Kingdom","Age in completed years","Total","Number","Total","588,993",""
"2016","Iceland","Age in completed years","Total","Number","Total","8,710",""
"2016","Liechtenstein","Age in completed years","Total","Number","Total","607",""
"2016","Norway","Age in completed years","Total","Number","Total","61,460",""
"2016","Switzerland","Age in completed years","Total","Number","Total","149,305",""
"2017","Belgium","Age in completed years","Total","Number","Total","126,703",""
"2017","Bulgaria","Age in completed years","Total","Number","Total","25,597","p"
"2017","Czechia","Age in completed years","Total","Number","Total","51,847",""
"2017","Denmark","Age in completed years","Total","Number","Total","68,579",""
"2017","Germany (until 1990 former territory of the FRG)","Age in completed years","Total","Number","Total","917,109","be"
"2017","Estonia","Age in completed years","Total","Number","Total","17,616",""
"2017","Ireland","Age in completed years","Total","Number","Total","78,499",""
"2017","Greece","Age in completed years","Total","Number","Total","112,247",""
"2017","Spain","Age in completed years","Total","Number","Total","532,132",""
"2017","France","Age in completed years","Total","Number","Total","369,964",""
"2017","Croatia","Age in completed years","Total","Number","Total","15,553",""
"2017","Italy","Age in completed years","Total","Number","Total","343,440",""
"2017","Cyprus","Age in completed years","Total","Number","Total","21,306",""
"2017","Latvia","Age in completed years","Total","Number","Total","9,916",""
"2017","Lithuania","Age in completed years","Total","Number","Total","20,368",""
"2017","Luxembourg","Age in completed years","Total","Number","Total","24,379",""
"2017","Hungary","Age in completed years","Total","Number","Total","68,070",""
"2017","Malta","Age in completed years","Total","Number","Total","21,676",""
"2017","Netherlands","Age in completed years","Total","Number","Total","189,646",""
"2017","Austria","Age in completed years","Total","Number","Total","111,801",""
"2017","Poland","Age in completed years","Total","Number","Total","209,353","ep"
"2017","Portugal","Age in completed years","Total","Number","Total","36,639","e"
"2017","Romania","Age in completed years","Total","Number","Total","177,435","e"
"2017","Slovenia","Age in completed years","Total","Number","Total","18,808",""
"2017","Slovakia","Age in completed years","Total","Number","Total","7,188","p"
"2017","Finland","Age in completed years","Total","Number","Total","31,797",""
"2017","Sweden","Age in completed years","Total","Number","Total","144,489",""
"2017","United Kingdom","Age in completed years","Total","Number","Total","644,209",""
"2017","Iceland","Age in completed years","Total","Number","Total","12,116",""
"2017","Liechtenstein","Age in completed years","Total","Number","Total","645",""
"2017","Norway","Age in completed years","Total","Number","Total","53,351",""
"2017","Switzerland","Age in completed years","Total","Number","Total","143,377",""
